volgnr,pagina,voorletters,tussenvoegsel,achternaam,achtervoegsel,rol,vereniging
145,219,J.M.,,Hessel,,Penningmeester,amsterdam
146,219,A.,,Hogenhuis,,Eerste Secretaris,amsterdam
147,219,J.,,Stom,,Tweede Secretaris,amsterdam
148,219,J.A.,,Prescher,,Commissaris van toezigt,amsterdam
149,219,J.H.F.,,Bartels,,Commissaris van toezigt,amsterdam
150,219,J.,,Breeman,,Overman,amsterdam
151,219,J.,,Lamsveldt,,Eerelid,amsterdam
152,219,A.,van,Lee,,Eerelid,amsterdam
153,220,H.,van,Achelen,,,amsterdam
154,220,G.,,Adolfs,,,amsterdam
155,220,C.G.,,Bartels,,,amsterdam
156,220,A.,,Beerenhout,,,amsterdam
157,220,W.F.,,Bijl,,,amsterdam
158,220,G.,,Bleij,,,amsterdam
159,220,G.,,Boursault,,,amsterdam
160,220,J.G.,,Braams,,,amsterdam
161,220,J.C.,,Brinkman,,,amsterdam
162,220,B.,,Buhling,,,amsterdam
163,220,P.B.,,Buhling,Jr.,,amsterdam
164,220,J.,,Clausen,,,amsterdam
165,220,W.J.,,Cleban,,,amsterdam
166,220,F.,,Diekman,,,amsterdam
167,220,K.,van,Doorn,,,amsterdam
168,220,E.J.J.,,Driessen,,,amsterdam
169,220,W.H.,de,Fost,,,amsterdam
170,220,J.G.,,Gotze,,,amsterdam
171,220,J.M.,van,Gool,,,amsterdam
172,220,J.W.,,Grootegoed,,,amsterdam
173,220,J.R.,,Gunningh,Jr.,,amsterdam
174,220,F.H.,,Haberkorn,,,amsterdam
175,220,P.,,Hansen,,,amsterdam
176,220,G.J.,,Hartman,,,amsterdam
177,220,J.,,Heekelman,,,amsterdam
178,220,J.A.,,Hoeflage,,,amsterdam
179,220,A.J.,van,Hoorn,,,amsterdam
180,220,A.J.,van,Hoorn,Jr.,,amsterdam
181,220,J.,de,Jager,,,amsterdam
182,220,J.R.,,Jansen,,,amsterdam
183,220,J.B.,de,Jong,,,amsterdam
184,220,H.,van,Joolen,,,amsterdam
185,220,A.,,Kastelein,,,amsterdam
186,220,C.C.B.,,Kelk,,,amsterdam
187,220,A.A.,,Kemper,,,amsterdam
188,220,H.D.J.,van,Kesteren,,,amsterdam
189,220,F.,,Kiepe,,,amsterdam
190,220,J.M.,,Knap,,,amsterdam
191,220,G.,,Koster,,,amsterdam
192,220,J.,,Kouwer,,,amsterdam
193,220,A.,,Kreijts,,,amsterdam
194,220,H.,,Kuchlein,,,amsterdam
195,220,,,Kuring,,,amsterdam
196,220,H.F.J.,,Kurtz,,,amsterdam
197,220,J.,,Langenbach,,,amsterdam
198,220,D.,de,Leu,,,amsterdam
199,220,,,Lievegoed,,,amsterdam
200,220,G.G.,,Lorentz,,,amsterdam
201,220,,,Maas,,,amsterdam
202,220,H.J.,,Marsman,,,amsterdam
203,220,C.M.,,Meijer,,,amsterdam
204,220,,,Mulder,,,amsterdam
205,220,D.J.,,Palfenier,,,amsterdam
206,220,J.,,Pereira,,,amsterdam
207,220,S.,,Peets,,,amsterdam
208,220,E.,,Popla,,,amsterdam
209,220,G.H.,de la,Porte,,,amsterdam
210,220,D.J.,,Prescher,,,amsterdam
211,220,J.J.,,Prescher,,,amsterdam
